date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:07	249/249	---M--	200	added ('OK')	image/png	etag:%22cc2008a-f9-52e9e7c713dfc%22	http://www.anjstech.com/nav/images/nav_arrow_blu.png	D:/anjs/www.anjstech.com/nav/images/nav_arrow_blu.png	(from http://www.anjstech.com/nav/styles.css)
10:18:07	32629/32629	---M--	200	added ('OK')	image/png	etag:%22cc200ac-7f75-52e9e8a3a235c%22	http://www.anjstech.com/images/facebook.png	D:/anjs/www.anjstech.com/images/facebook.png	(from http://www.anjstech.com/css/style.css)
10:18:08	0/0	---M--	200	added ('OK')	text/html	etag:%22cc20088-0-52e9e7c3b0ec9%22	http://www.anjstech.com/nav/images/logo.html	D:/anjs/www.anjstech.com/nav/images/logo.html	(from http://www.anjstech.com/nav/fdw-demo.css)
10:18:08	2957/2957	---M--	200	added ('OK')	text/css	etag:%22cc20077-b8d-52e9e7870f913%22	http://www.anjstech.com/css/tab_style_inner.css	D:/anjs/www.anjstech.com/css/tab_style_inner.css	(from http://www.anjstech.com/CorporateOverview.php)
10:18:09	731/731	---M--	200	added ('OK')	text/css	etag:%22cc20073-2db-52e9e77543de6%22	http://www.anjstech.com/css/fancybox.css	D:/anjs/www.anjstech.com/css/fancybox.css	(from http://www.anjstech.com/CorporateOverview.php)
10:18:10	9167/9167	---M--	200	added ('OK')	application/javascript	etag:%22cc20090-23cf-52e9e7e117d60%22	http://www.anjstech.com/scripts/validate.js	D:/anjs/www.anjstech.com/scripts/validate.js	(from http://www.anjstech.com/CorporateOverview.php)
10:18:11	27591/27591	---M--	200	added ('OK')	image/png	etag:%22cc20087-6bc7-52e9e7cbe7f7a%22	http://www.anjstech.com/nav/images/arrow_top.png	D:/anjs/www.anjstech.com/nav/images/arrow_top.png	(from http://www.anjstech.com/nav/styles.css)
10:18:20	191835/191835	---M--	200	added ('OK')	image/png	etag:%22cc200cd-2ed5b-52e9e906fd751%22	http://www.anjstech.com/images/services-nav-bg-home.png	D:/anjs/www.anjstech.com/images/services-nav-bg-home.png	(from http://www.anjstech.com/css/style.css)
10:18:21	61648/61648	---M--	200	added ('OK')	image/jpeg	etag:%22cc20164-f0d0-52e9f37d477a0%22	http://www.anjstech.com/images/staffing.jpg	D:/anjs/www.anjstech.com/images/staffing.jpg	(from http://www.anjstech.com/StaffAugmentation.php)
10:18:28	120534/120534	---M--	200	added ('OK')	image/png	etag:%22cc2009a-1d6d6-52e9e856f1fbd%22	http://www.anjstech.com/images/banner_company.png	D:/anjs/www.anjstech.com/images/banner_company.png	(from http://www.anjstech.com/CorporateOverview.php)
10:18:29	46045/46045	---M--	200	added ('OK')	image/jpeg	etag:%22cc20165-b3dd-52eb13c94dda0%22	http://www.anjstech.com/images/infrastructure.jpg	D:/anjs/www.anjstech.com/images/infrastructure.jpg	(from http://www.anjstech.com/InfrastructureManagement.php)
10:18:39	178725/178725	---M--	200	added ('OK')	image/png	etag:%22cc2009c-2ba25-52e9e8664886d%22	http://www.anjstech.com/images/banner_services.png	D:/anjs/www.anjstech.com/images/banner_services.png	(from http://www.anjstech.com/Services.php)
10:18:42	136641/136641	---M--	200	added ('OK')	image/jpeg	etag:%22cc20162-215c1-52e9f32c40473%22	http://www.anjstech.com/images/development.jpg	D:/anjs/www.anjstech.com/images/development.jpg	(from http://www.anjstech.com/SoftwareDevelopment.php)
10:18:48	28969/28969	---M--	200	added ('OK')	image/jpeg	etag:%22cc200d5-7129-52e9e933eac35%22	http://www.anjstech.com/images/subscribe.jpg	D:/anjs/www.anjstech.com/images/subscribe.jpg	(from http://www.anjstech.com/css/fancybox.css)
10:18:49	131465/131465	---M--	200	added ('OK')	image/jpeg	etag:%22cc20163-20189-52e9f35f34e31%22	http://www.anjstech.com/images/consulting.jpg	D:/anjs/www.anjstech.com/images/consulting.jpg	(from http://www.anjstech.com/ITConsulting.php)
10:18:51	145219/145219	---M--	200	added ('OK')	image/jpeg	etag:%22cc20161-23743-52ea12ceaf37e%22	http://www.anjstech.com/images/training.jpg	D:/anjs/www.anjstech.com/images/training.jpg	(from http://www.anjstech.com/CorporateTrainings.php)
10:18:53	130407/130407	---M--	200	added ('OK')	image/png	etag:%22cc20097-1fd67-52e9e848747bb%22	http://www.anjstech.com/images/banner-careers1.png	D:/anjs/www.anjstech.com/images/banner-careers1.png	(from http://www.anjstech.com/Careers.php)
